Category,Question,Answer
General,What is a group of gulls,Colony
General,Poisonous substance especially a pesticide,Biocide
Music,How Old Was John Lennon When He Was Murdered,40
General,Who was vice president US when A bomb dropped on Hiroshima,No One - was not one
General,In Woodstock NY it's illegal to walk what without a leash,A Bear
Music,Who was best man at John Lennon and Cynthia Powells wedding?,Brian
General,In Which US City Did Techno Music Originate,Detroit
General,"Who said ""Religion___ is the opium of the masses""?",Karl Marx
General,Which three word catchphrase is most universally recognised,Bond James Bond
Music,Will Smith's Rapper Alter Ego Was Who,The Fresh Prince
General,What is the square root of 64,Eight
General,Slang:Person with very short hair or very little,Slaphead
General,What is banned by public schools in San Diego,Hypnotism
General,What sport was obligatory for Kennedy males during Hyannis Port weekends,Touch football
General,What links Helicon Hutchinson Macmillan and Penguin,Book Publishers
General,Plutophobia is the fear of,Wealth
General,Which saxophonist joined David A Stewart in the charts on 'Lily Was Here',Candy dulfer
General,What is the name of a hairstyle in which the head is shaved except for a central strip,Mohican
General,In Bristol England an old law says dogs can do what,Watch sex in your bed
General,This first king of Israel reputedly had 700 wives?,Soloman
Geography,What building built in 1897 contains 327 miles of bookshelves ,The library of congress 
General,"Pony, Shot and Jigger are all units to measure what?",Spirits
Geography,"______________, in the eastern West Indies, is one of the world's most densely populated countries.",Barbados
General,"Which country's national flag consists of a white crescent and star, offset left of centre, on a red field",Turkey
Food & Drink,Which drink do you associate with Holy Island in Northumberland? ,Lindisfarne Mead 
General,Which Popular Tv Presenter & Broadcaster Sadly Died In 1988 At Leeds Hospital Suffering From Hepatitus,Russell Harty
General,What is Kensington Gore,Actors fake blood
General,"In Greek legend, Zeus wooed Europa, daughter of King Agenor, in the form of which animal",Bull
General,Rhabdophobia fear of what,Being Beaten
General,La Who played the title role In the film The Madness of King George,Nigel hawthorne
General,Who invented the assembly line,Henry ford
General,"Who portrayed clare quilty in the film, ""lolita""",Peter sellers
General,What is a sardine,Young herring
History & Holidays,"Who was known as ""the wizard of Menlo Park"" ?",Thomas Alva Edison
General,What was the name of the last film where george burns played god,"Oh god, you"
General,In 1928 Simon Bolivar was president 3 countries Bolivia and ?,Columbia Peru
General,In Which Us City Is The Head Quarters Of The Coca Cola Company,Atlanta / Georgia
General,Which U.S. government branch includes the President and Vice President,Executive
Food & Drink,Laetrile is associated with the pit of which fruit?,Apricot
Sports & Leisure,In BaseBall where do the braves come from ,Atalanta 
General,What is the largest bird of prey in the United Kingdom?,White-Tailed Eagle (Sea Eagle)
General,Musca Domestica can cause disease in man - what is it,Common Housefly
General,"Who said 'what, me worry'",Alfred e neuman
General,In heraldry what is a vertical line dividing a shield called,Pale
General,Eczema affects which part of the body,Skin
General,What is the Capital of: Uruguay,Montevideo
General,Who composed The Dream of Gerontius,Edward Elgar
Geography,Which country hosted the 1982 World Cup of soccer?,Spain
General,Mendelssohn's Wedding March comes from which work,A Midsummer Nights Dream
General,"In Animal House, what was Bluto's grade point average?",0
General,What were the spice islands formerly known as,Zanzibar
General,This was originally published in the U.S. as _Murder in the Calais Coach,Murder on the orient express
General,What's the connection between Benson & Growing Pains?,"Missy Gold and Tracey Gold,"
General,What does an anthrophage practice,Cannibalism
General,What colour was the hundred billionth crayola crayon,Periwinkle blue
Music,In Which Type Of Car Was Marc Bolan A Passenger When He Was Tragically Killed,A Mini
Geography,Into what bay does the Ganges River flow?,Bay Of Bengal
General,What disease is carried by the tsetse fly,Sleeping sickness
General,Hotel California' by the Eagles was single of the year and 'Rumours' by Fleetwood Mac was the album of the year. Which year was it,1977
General,Which south east Asian city was formerly called Krung Threp,Bangkok
General,What did the lady of the lake give king arthur,Excalibur
Geography,The Volta is the largest river in which country,Ghana
General,Who would write a decratal or rescript,The Pope
General,Leslie Hornby became more famous as who,Twiggy
Sports & Leisure,In Snooker How Much Is a (Red Black Red Green Red) Worth ,13 
General,Melba sauce is made from what fruit,Raspberries
Geography,"There is a U.S. state capital that was named after a famous German. Bismarck, North Dakota, was named after ______________________",Otto von bismarck
General,Comedian that is the disc jockey on the soundtrack to Resevoir Dogs,Steven wright
General,Ten degrees Celsius is the equivalent of how many degrees Fahrenheit,Fifty degrees
Music,Who Was Charles Edward Anderson Berry Better Known As,Chuck Berry
General,"Hook and eye', 'strap', 'tee', 'butt' and 'blind' are all types of what",Hinges
General,What is the name of Mr.Krane's dog on Frasier?,Eddie.
General,What is added to soap to make it clear,Alcohol
General,The FIC govern what sport,Canoeing
General,Who is the president of Russia,Vladimir putin
Music,What Was The Name Of Elvis Presleys Home,Graceland
General,Hack - Hog Line - House are terms in what sport,Curling
Geography,Which city is home to the 4th largest pyramid in the world?,Las Vegas
General,"In the tv series 'the brady bunch', what was cindy's toy doll's name",Kitty
Geography,In what country is thunder bay ,Canada 
General,What is the glass capital of the world,Toledo
Entertainment,Who wrote the opera 'The Giant'?,Sergei Prokofiev
General,"What major British disaster occurred in Beauvais, France, in 1930",Crash of the r101 airship
Music,"Whose First Single Was ""Release Me""",Engelbert Humperdinck
Science & Nature,What Is A Portuguese Man-O-War? ,Jelly Fish 
General,If you landed at Arlanda airport where would you be,Stockholm Sweden
Music,"With Which Group Did Marc Almond Record The 1985 Hit ""I Feel Love""?",Bronski Beat
General,Carlos This planet has an atmosphere that is 98 percent Helium,Mercury
Entertainment,Who wrote the oprea 'La Traviata'?,Guiseppe Verdi
General,The term Sesquincentennial represents how many years ?,150
History & Holidays,Which Film First Featured A Character Called Pinhead ,Hellraiser 
General,"In 1987 Bernardo Bertolucci became the first western director to be allowed to film in Beijing, what film was he making",The last emperor
General,"What are Grenadier, Idared and Ellison's Orange types of",Apples
General,What links Augsburger - La Stampa - El Pais and Duma,Newspapers Germany Italy Spain Bulgaria
General,"In the TV Western series ""Bonanza"", what was the name of the ranch",Ponderosa
Language,"""Entre nous"" means __________.",Between ourselves
General,Freyr was the Norse god of what,Fertility
General,The only Italian masterpiece you can drive to work,Maserati
General,A Group of Lion is called a,Pride
Science & Nature,Which element has the chemical symbol PT ,Platinum 
Geography,What is the basic unit of currency for Azerbaijan ?,Manat
General,"Name the stretch of water which lies between New Brunswick, Maine and Nova Scotia",Bay of fundy
General,Which position is traditionally played in Rugby Union by the player wearing a number 11 shirt?,Left Wing
General,Goose Flats changed its name to what US city,Tombstone Arizona
Geography,In Which Country Is Europe's Highest Mountain Mt Elbrus ,Russia 
General,What geological period followed the Jurassic,Cretaceous
History & Holidays,Who directed the movie 'An American in Paris? ,Vincente Minnelli 
Music,"Who Begged For ""Just One More Night"" In 1978",Yellow Dog
General,In Star Trek Deep Space Nine which character had a simbiant,Jadzea Dax
Art & Literature,Dr. Seuss wrote this book: The Cat in the______.,Hat
General,The brutal treatment of Billy Hayes was the inspiration what film,Midnight Express
General,What instrument is used for measuring the distance between two points on a curved surface,Caliper
General,What is the worlds biggest profession,Teaching
General,"What is the nickname for Indianapolis, Indiana",Railroad city
General,Meridians converge at the ______,Poles
Geography,What is the capital of Honduras ?,Tegucigalpa
Geography,In which continent would you find the Mississippi river ?,North America
Science & Nature,Which substance has the chemical symbol 03? ,Ozone 
General,"Impurities, particularly of which compound, according to modern chemists, gives amethyst its violet or blue colouration",Iron oxide
General,The rover the last is red the rest are white in what sport,Croquet hoops
General,Who was British Prime Minister at the outbreak of WWI,Herbert asquith
General,And what is officially the richest,District of Columbia
General,In which Woody Allen film was Allen's character visited by the ghost of Humphrey Bogart,Play it again sam
General,Police Academy got its theme song from which other film,Patton
Art & Literature,Which Sculptor Produced A Lobster Telephone ,Salvador Dali 
Geography,In which state is Mount Vernon?,Virginia
General,What was Japan's most famous WWll aeroplane,Zero
General,Which Irish playwrights middle names are Fingall O'Flahertie Wills,Oscar wilde
General,Manya Sklodowska became famous under what name,Madam Curie
General,TABSO is the national airline of which country,Bulgaria
Geography,"Two thousand years ago, the ancient Roman city of __________ was a thriving commercial port of 20,000 people.",Pompeii
General,Inflammation of the gums,Gingivitis
General,Who did a double album after leaving the beatles as an effort to raise money for the famine in bangladesh,George harrison
Music,Which Artist Married Carrie Fisher In August 1983,Paul Simon
General,What US president was born in Corsica,William Harding
General,What language speakers were shot Russia and Germany 1930s,Esperanto
Science & Nature,Which vital organ does the adjective renal refer to? ,Kidney 
General,Which of the 5 senses is less sharp after you eat too much,Hearing
General,"Which author wrote the ""Redwall"" series of novels",Brian jacques
General,There are 150 what in The Bible,Psalms
History & Holidays,Eras are divided into units called ________.,Periods
General,American folklore Abner Doubleday invented what at West Point,Baseball
Language,What is the Spanish word for 'festival'?,Fiesta
Language,"The name Australia is derived from the Latin word ""australis"" which means _______.",Southern
Music,"What Group Consisted Of Jo,Tina,Hannah,Rachel,Paul,Bradley,Jon",S Club 7
General,What is a SR N4,Hovercraft
General,Britain's Frankie Wainman was world champion 1979 what sport,Stock Car Racing
General,What US state named in 1664 in honour of Sir George Cateret,New Jersey Cateret defended Jersey
General,Who Sang The Theme Tune To The James Bond Movie Octopussy?,Rita Coolige
Geography,What name is shared by mountain ranges in Scotland & Australia? ,Grampians 
Geography,Canada is the second_largest country in the world after __________. Nearly 90 percent of the Canada's population is concentrated within 161 km of the United States/Canada border.,Russia
General,What country do most stolen US cars end up in?,Mexico
Entertainment,Band: Elvis Costello and the ___________ ?,Attractions
General,"As Nick Park drove to the 1996 Oscar ceremony on a Wallace and Gromit-style red motorcycle and sidecar, why was he cautioned by the police",Not wearing a crash helmet
General,In Natchez Missouri it is illegal to provide beer to what,An Elephant
General,Which country produces most of the worlds gold,South africa
General,"All Hebrew orignating names that end with the letters ""el"" have something to do with what",God
General,What concentration camp is the name of Anne Frank's burial site,Bergen belsen
General,"Which Company Now Owned By Jaqueline Gold Was The Brain Child Of ""Cabourn Waterfield""",Ann Somers
General,Peter Benchley Published His First Novel In 1969 It Went On To Become A Hugely Popular Film What Was It Called?,Jaws
General,Kelsey grammar sings and plays the theme song for which tv show,Frasier
People & Places,Which Famous Artist Painted The Most Paintings ,Piccaso 
General,For which film did Sophia Loren become the first to win a Best Actor/Best Actress Oscar in a foreign language film,Two women
General,Busey what disney movie stars merlin the magician and wart the boy king,Sword in
History & Holidays,What did Temujin change his name to ?,Genghis Khan
General,Which One Word Phrase Literally Means “ The Place Of All Demons ”?,Pandemonium
Music,"1971's ""Move On Up"" Was The Biggest UK Hit For Which Soul Superstar",Curtis Mayfield
General,What liqueur means cupid in Italian and love in Latin,Amaretto
General,How many children did president william henry harrison have,Ten
General,What is the national drink of Poland,Mead
Music,Name The Russian Composer Who Wrote Peter & The Wolf,Sergei Prokofiev
General,Patroiophobia is the fear of,Heredity
General,It is against the law to do what to the Mayor of Paris,Stare at Him
Geography,Which country has a flag of a red circle on a white background ?,Japan
Food & Drink,"This spiny fruit with a pungent odor and rich yellow flesh is considered ""The King of Fruits"" by many southeast asians.",Durian
General,The tune Rhapsody in Blue was first performed in which year,1924
General,Which South American country does not border the Pacific,Belize
General,What is the atomic mass of molybdenum,95.94
Geography,What is the capital of Western Samoa,Apia
Entertainment,"What country singer/songwriter (and sometimes actor) is known as ""the country outlaw""?",Willie Nelson
Science & Nature,For How Long Does A Female Turkey Incubate Her Eggs ,Aprox 28 Days 
General,A Maryland t-shirt slogan that parodied 'virginia is for lovers' read what,Maryland is for crabs
General,What do the aperture & shutter let into a camera,Light
General,What is the capital city of the Kingdom of Tonga,Nuku'alofa
General,With which hand do soldiers salute?,Right
General,Which Italian writer wrote The Periodic Table,Primo levi
General,In Only Fools and Horses what is Rodney's middle name,Charlton
Geography,What is the basic unit of currency for Tanzania ?,Shilling
General,"Birmingham is flanked by the M6 on the north and M5 on the west, which motorway flanks south & east",M42
Music,Who Had A No.1 In 1998 With C'est La Vie,Bewitched
Music,"Posdnous, Trugoy the Dove & PA Pacemaster Mase Had Their First Hit In 1989 How Are They Collectively Known",De La Soul
General,Maraschino' is a liqueur flavoured with what,Cherries
General,What First Appeared In Britain On The 12th January 1948,A Supermarket
General,What Is The Only Creature Male Creature To Carry & Hatch Eggs,A Seahorse
General,Who has won the soccer world cup as a player and a coach,Franz Beckenbauer
General,What is the Capital of: Swaziland,Mbabane
Science & Nature,Sodium Hydroxide is more commonly known as _________.,Lye
General,Indiana jones: how many shankara stones did indy deliver,Only one one
Geography,What is the capital of Guam?,Agana
Science & Nature,How Is The Binary Numer '010' Expressed As A Decimal ,2 
General,What animal would you find in a form,Hare
General,LOT is the national airline of what country,Poland
General,"25th anniversary is silver, what's the 6th",Iron
Sports & Leisure,Name The Youngest Ever World Heavyweight Boxing Champion ,Mike Tyson 
General,In the human body where is your occiput,Back of head
General,The Great Gazoo was an alien in which cartoon series,The Flintstones
General,In the body what may be endocrine or exocrine,Glands
General,What popular brand named of sugar coated breakfast cereal contained so much iron when introduced in 1977 it could be picked up with a magnet,Kellogg's frosted rice cereal
General,What is the more common name for grape sugar,Glucose
History & Holidays,Which actor from The Harry Potter Films Also starred in The Movie Dracula ,Gary Oldman 
General,What unusual ingredient is often included in a Gibson coctail?,Pickled Onion
General,"Mineral, a cryptocrystalline variety of quartz of various shades of white, gray, yellow, brown, green, & blue",Chalcedony
General,What musical was named after a u.s city,Oklahoma
Music,Who Tore Up A Picture Of The Pope Live On US Television In 1992,Sinead O Connor
General,"Which man has made the highest individual innings at Lord's, an innings of 333",Graham gooch
Music,"Whose Albums Include ""Copperhead Road, Guitar Town & A Train A Comin""?",Steve Earl
General,A method of construction in which vertical beams are used to support a horizontal beam.,Post and lintel
General,Which Disney film features the ballad 'Can You Feel The Love Tonight,The lion king
General,Psychologists say men who prefer small breasts what mentally,Depressed
General,"Name the French salad containing tuna, anchovies, french beans and hard boiled eggs",Salade nicoise
General,In Cheyenne Wyoming what is illegal on Wednesday,Taking a Shower
General,In what business are 'angle irons' and 'rolex',Dentistry
History & Holidays,What was the only state george mcgovern carried in the 1972 presidential election ,Massachusetts 
General,Mace is the outer covering of which common spice,Nutmeg
General,What actor played George Cooper in My Favorite Husband,Barry nelson
General,In what industry did John Davidson Rockefeller get rich,Oil
General,"What actress declared ""I'll get naked at the drop of a hat""",Sharon Stone
General,What was the name of the beatles' corporation before it was renamed 'apple',Beatles and company
General,What is the non obvious link Superman 1 and the Godfather,Mario Puzo write both stories
Food & Drink,What Would You Be Drinking If You Were Given Earl Grey ,Tea 
Music,What Was XTC's Senses Working,Overtime
General,"Who won the Oscar for Best Director for the 1987 film ""The Last Emperor""",Bernardo bertolucci
General,What is hypertext markup language,Html
Sports & Leisure,"What in 1926, did Gertrude Ederle become the first woman to do? ",Swim Across The English Channel 
General,Which British King Was On The Throne When America Gained Independence,King George 3rd
General,Fredrick Bulsara was the lead singer of what pop group,Queen - Freddie Mercury
Geography,What is the capital of Greece ?,Athens
Sports & Leisure,In Which Pastime Might You Score A Hit ,Battleships 
General,In Montreal you cannot park a car blocking what,Your own driveway
General,Which film had song Springtime for Hitler,The Producers
General,What Georgia park features carvings on the world's largest piece of exposed granite,Stone mountain
General,Who wrote the opera 'the giant',Sergei prokofiev
General,What hit lp did rockpile release in 1980,Seconds of pleasure
General,What was the (West) German capital before the 'Wiedervereinigung',Bonn
General,What would you buy in a Manitee length,Pearls - a 24 inch choker
General,In Iowa state laws prohibits charging admission to see what,One armed piano players
General,Radical russian marxists are known as,Bolsheviks
General,What 20th-century American president was so obsessed with secrecy that he often wrote 'burn this' on personal letters,Lyndon Johnson
General,What is the capital of Hawaii,Honolulu
Science & Nature,Where Was The Blast Furnace First Introduced ,France Around 1400 
General,Estimated there are 4 100 million billion molecules cubic inch what,Air
Art & Literature,In Which Century Did Artists First Start Painting On Canvas ,15th Century 
General,What is the capital of Tasmania,Hobart
General,What airlines identification code is VS,Virgin Atlantic
Science & Nature,In Which 1986 film Did Michael Hutchence Star As A Truly Terrible Punk Singer ,Dogs In Space 
General,What type of fruit is a pineapple,Berry
General,"Name the South African author of 'Cry, the Beloved Country'",Alan paton
General,"Who, in 1874, painted the picture called La Loge",Auguste renoir
Geography,Which Bridge Was The First Major Suspension Bridge In The World ,The Menai Strait Bridge In Wales 
Science & Nature,"In 1874, the first animal purchased for the Lincoln Park Zoo in Chicago was a __________, bought for $10.",Bear cub
General,"In the bible the book of Psalms is attributed to King David, to who is the book of Ecclesiastes attributed",Solomon
General,What Was The Name Of Sherlock Holme's More Intelligent Brother?,Mycroft
Food & Drink,Laetrile is associated with the pit of which fruit,Apricot
General,"Who lost 41 of a crew of 98 to scurvy in 1868, on his first voyage to the south pacific",Captain cook
General,Which actor/director was responsible for the rebuilding of the Globe Theatre,Sam wanamaker
General,On any given day half of Americans are on what,A special Diet
Music,"Fairground Attraction Had A Hit With The Song ""Perfect"" Or ""People""",Perfect
General,What is the Capital of: Switzerland,Bern
General,What is the name of a quarter of Jerusalem that can be translated as 'hundred gates'?,Mea Shearim
General,In Cheyenne Wyoming its illegal to do what on a Wednesday,Take a shower
History & Holidays,Which Country Was Divided Into North And South In 1954 after communists took control of government. ,Vietnam 
General,The stuff that dreams are made off - last words in what film,The Maltese Falcon
General,"Who presents the radio programme ""In the Psychiatrist's Chair""",Anthony clare
General,Where is the Kennedy Space Centre?,"Cape Canaveral, Florida"
Geography,What is the basic unit of currency for Dominica ?,Dollar
Science & Nature,The Adélie __________ bears the name of French explorer Dumont d'Urville's beloved wife.,Penguin
General,Who would spin a Gob on their nose end,Glassblower
Toys & Games,"In snooker, how many points are accumulated in a perfect break?",147
General,Who gave Yves Saint Laurent his start in fashion,Christian Dior
General,Where is mount vesuvius,Italy
General,Tudor England mans apron shows job white cook what checked,Barber
General,What is the longest strait in the world,Malacca
General,How many stories did enid blyton publish in 1959,Fifty nine
General,Which animals name comes from Arabic he who walks swiftly,Giraffe
General,What is the official newspaper of capitol hill,Roll call
General,"This Is “ Tracie Andrews ” Who Hit All The Tabloid Healines On The 3rd Dec 1996, But Why?",Road Rage She Murdered Her Boyfriend Lee Harvey
Geography,Which bridge spans the Hudson River?,George Washington Bridge
Music,Which group was no.1 in the charts in ’95 with “back for good”?,Take That
Sports & Leisure,"Which Grand Prix Racing Team Are Based In Woking, Surrey ",McClaren 
History & Holidays,In 70's CB Radio Slang What Is A 'Smokie'' ,A Policeman 
General,"Which Band Started Out In Basildon Essex Under The Name ""The Composition Of Sound""",Depeche Mode
General,What name is given to the legendary black dog with huge teeth and claws which is prevalent in the North of England mythology?,Barghest
General,What movie starred michael caine and angie dickenson,Dressed to kill
Food & Drink,"The mild stimulant ""theobromine"" is found in this common lip_smacker.",Chocolate
Food & Drink,In which country is the wine making area of Stellenbosch? ,South Africa 
General,Released in 1908 what was the first ever horror film,Dr Jeckyll and Mr Hyde
General,In what book did the grinch steal christmas,The grinch who stole christmas
Music,KC and the Sunshine Band stemmed from which US state?,Florida
General,What is elton john's real name,Reginald dwight
Religion & Mythology,Egyptian Ibis-headed god?,Thoth
General,In what country is K2 the world's second-highest mountain,Pakistan
General,What is an aasvogel,A vulture
General,Who was the first U.S. President to use a word processor?,Jimmy Carter
General,Which Group Was The Motown Labels Biggest Selling Act Of The 1990's,Boys To Men
General,Where is the 'whispering gallery',St paul's cathedral
General,The average person does it 17 times a day - what,Laugh
General,Who is melanie griffith's mother,Tippi hedren
Entertainment,This movie starring Marlon Brando won the best picture award in 1972.,The Godfather
History & Holidays,Two 747's collided here in 1977.,Canary islands
General,What U.S. state includes the telephone area code 515,Iowa
General,"Who said ""The no-mind not-thinks no-thoughts about no-things"" ?",Buddha
General,Cousin What U.S. state includes the telephone area code 602,Arizona
General,What is the name of the river that runs on the border of california and arizona,Colorado
Entertainment,_____ in the name of love?,Stop
General,What is the scientific name for the gorilla,"""Gorilla gorilla- gorilla"""
General,What gem was Cleopatra's signet,The Amethyst
General,What is the longest typed word that alternates hands,Skepticisms
General,Who coupled with the devil and gave birth to Andrew John,Rosemary
General,In which country is the highest European waterfall,"Ormeli, norway"
General,Grammy Awards: What album by Michael Jackson won the grammy in 1983,Thriller
General,In which country is the Nokia company based,Finland
General,What is e.t famous for saying,E.t phone home
General,What country had an airline called Rottnest,Australia
General,African American Garrett A Morgan invented what,The Traffic Signal
General,"The heraldic term ""gules"", meaning red, comes from the french word ""gueules,"" meaning a ______",Throat
General,Bowser' and 'Jocko' have been two prominent members of what very successful rock & roll nostalgia act?,Sha Na Na
General,Where was Enrico Caruso born,"Naples, italy"
General,Who would use a technique called pleaching,Gardener twine branches to hedge
Science & Nature,A camel can shut its nostrils during a __________,Desert sandstorm
General,What is the fear of progress known as,Prosophobia
General,"What state contains the most cacti, or cactuses",Arizona
General,What colour is the wax covering Gouda cheese,Yellow
General,"Wheel according to bonnie tyler, what hits you when it's too late",Heartache
General,"In 'star wars', who was darth vader's face",Sebastian shaw
General,What is the easternmost city in Germany,Berlin
General,Who is the only baseball player to have been killed in a major league game,Raymond chapman
General,Which car's name translates from latin as 'I Roll'?,Volvo
General,Where's the famed Arch of Hadrian,Athens
General,"Who From The World Of Sport Penned The Autobiography Entitled ""Facing The Music""",Torville & Dean
Music,Fred Scnheider Was A Member Of Which Famous Band,The B 52's
General,What is a dialogue,A conversation
General,Where in the body is the axilla,Armpit
Music,"What Is The Connection Between Jean Luc Ponty, Stephane Grappelli, & Jerry Goodman",Violin
General,What star of the Breakfast Club was also part of the orginal cast of the facts of life?,Molly Ringwald
Sports & Leisure,Packy East Had 3 Boxing Bouts All Of Which He Lost When Asked About Them He Said & I Quote ' I Was On The Canvas More Times Than Rembrandt '' How is he better known ,Bob Hope 
General,What is the official language of Cuba,Spanish
General,Motorphobia is the fear of,Automobiles
General,"__________ Ford is listed as one of 50 people barred from entering Tibet _ apparently, Disney clashed with Chinese officials over the film Kundun (1997). Ford's wife Melissa Mathison wrote the screenplay.",Harrison
Entertainment,"When not fighting crime, what did Underdog do for a living?",Shoeshine boy
Food & Drink,"Often drunk, this liquid is normally harvested from female cows ",Milk 
General,Which country grows the most fruit,China
Science & Nature,What Vegetables Are Part Of The Family Allium? ,"Onions, Garlic, Leek, Shallot And Chive "
General,220 yards equals one,Furlong
General,Which Mediterranean island was divided into two in 1974,Cyprus
General,"To what does the obscure song ""Turning Japanese"" refer?",Masturbation
General,How many years did Hitler predict the Third Reich would reign,1000 years
Geography,In which state are Gettysburg and the Liberty Bell?,Pennsylvania
General,A collision between a bird and an aircraft,Bird-strike
History & Holidays,"""What Did My True Love Give To Me On The """"Tenth"""" Day Of Christmas"" ",10 Lords A Leaping 
Science & Nature,"__________ feel safest when they are crowded together, hundreds in a group.",Flamingoes
General,Which company developed 'instant' coffee in the 1930s,Nestle
People & Places,Who Bought The Ritz Hotel In Paris In 1979 ,Mohammed Al Fayed 
General,What former british colony has a famed jade market on canton road,Hong kong
General,Who was the male star of the film Fatal Attraction,Michael douglas
General,What is the average temperature (f) at the South Pole,Minus fifty six 56
Food & Drink,"In the year 2000, what was the most popular sweet brand in the UK - Rowntree Fruit Pastilles, Starburst or Polo Mints? ",Polo Mints 
General,"Which element, discovered by Pierre and Marie Curie, did she name after the country of her birth",Polonium
General,What is the day called when the earth is closest to the sun,Perigee
General,What relation was Louis XV of France to Louis XIV,Great grandson
Science & Nature,What two planets dont have moons?,Mercury and Venus
Science & Nature,"A baby gray __________ drinks enough milk to fill more than 2,000 bottles a day.",Whale
General,How many inches tall are the bearskins worn by the guards at Buckingham Palace?,20
General,What does a polyandric women have more than one of,Husband
General,Beethoven's 9th was his interpretation of what work by Schiller,Ode to Joy
Language,What does the abbreviation N/A mean?,Not applicable
General,"The study of natural phenomena: motion, forces, light, sound, etc. is called ______.",Physics
General,Who played clyde to faye dunaway's bonnie,Warren beatty
Sports & Leisure,What is soccer star Pele's real name?,Edson Arantes do Nascimento
General,What is the sfa associated with,Football
General,"Of love Heavier-than-air craft that derives its lift not from fixed wings like those of conventional airplanes, but from a power-driven rotor or rotors, revolving on a vertical axis above the fuselage",Helicopter
General,Which U.S. soul singer was known as 'Lady Day',Billie holiday
Science & Nature,What is the meaning of the name of the constellation Cygnus ?,Swan
History & Holidays,Who Was The First President Of The United States? ,George Washington 
General,Institution for young offenders having a tough quasi-military regime,Boot camp
History & Holidays,What caused the gremlins in the movie Gremlin to become evil? ,Eating after midnight 
General,If an alloy is an amalgam what metal must it contain,Mercury
Sports & Leisure,"What sport do the following terms belong to - ""Sweeper & Advantage Rule""?",Soccer
Religion & Mythology,How many sayings did Jesus say from the cross?,Seven
General,"In the opera 'la traviata', what was violetta's occupation",Courtesan
Sports & Leisure,In What Sport Might You Need To Perform An Eskimo Roll ,Canoeing & Kayaking 
Science & Nature,What name is used to describe permanently-frozen subsoil?,Permafrost
General,In 1666 Jesuit Bark was used as a prevention against what,Malaria
General,"Who is the hero of Rider Haggard's adventure, King Solomon's Mines",Alan quartermain
General,What country is the world's deepest mine located,South Africa
General,Stanley Kubrick Started It In The Early 1970's & Steven Spielberg Finished It In 2001 Name The Movie,A.I
Geography,What is the capital of Croatia ?,Zagreb
General,For which game would you win the Plimpton Cup,Backgammon
General,Where are bangtails found,Mailer envelopes
Science & Nature,What Is A Particle Of Light Called ,A Photon 
General,"What, with arabic, is the official language of mauritania",French
General,Zoisite is a semi precious stone - National stone which country,Norway
Science & Nature,What bird has the biggest wingspan?,Albatross
General,Large dog of a breed of wolfhound,Alsatian
Science & Nature,The __________ is the first bird mentioned in the Bible. It was sent out by Noah to see if the waters had abated.,Raven
General,In the Canterbury Tales why were the pilgrims travelling,To visit Thomas a' Becketts Tomb
Sports & Leisure,Who Was PFA Young Player Of The Year In 1995 & 1996? ,Robbie Fowler 
General,Who was the first british royal to make people magazine's 'worst dressed list' five times,Sarah ferguson
General,Meat from animal killed according to Muslim law,Halal
General,What can be Vulgar Common Simple Improper or proper,Fractions
General,Where are the Guiana Highlands,Northern south america
General,It was Greek to me is a line from which Shakespearean play,Julius caesar
Science & Nature,Where Was The Potters Wheel First Used ,In Mesopotamia c.3000 Bc 
Music,"Who Had A Hit With ""I Love A Rainy Night""",Eddie Rabbitt
General,Who would be scored on the Apgar scale,Newborn Babies
General,Who wrote the 'Aeneid',Virgil
General,What did air cadet frank whittle invent in 1928,Jet engine
General,"Which famous singer lived at 20 Forthlin Road,Liverpool",Paul mccartney
General,"Bill Watterson, cartoonist for Calvin & Hobbes, is the first cartoonist to use what word in his cartoon",Booger
History & Holidays,What was first worn on the 10th October 1886 ?,Tuxedo
General,"The chemical phenylethylamine, which your brain produces when you fall in love, is found in what food",Chocolate
General,Who was called The Scourge of God,Attila the Hun
Music,Who Was The Lead Singer & Producer For Cameo,Larry Blackmon
Art & Literature,Name the author of 'The Catcher in the Rye',J.D. Salinger
General,This Indian group ruled in early Peru,Incas
General,There are 16 ______ in a cup,Tablespoons
General,What is one of the items that the wood of the sycamore tree is used for,Boxes
Geography,On which coast of Australia is Sydney?,East
General,What sport/game is bobby fischer associated with,Chess
General,Eskimo culture encourages male visitors to do what,Sleep with hosts wife
General,Honeydew' is a variety of what,Melon
General,"What Cartoon Character Was Created, Inspired by The Frank Sinatra Song Strangers In The Night",Scooby Doo
General,Irish Proverb - If you want to be criticized do what,Marry
General,Maputo is the capital of ______,Mozambique
Food & Drink,What Type Of Fruit Is A Russet ,An Apple 
General,Marengo was Napoleons horse but he rode who at Waterloo,Disiree white Arabian
General,What were J.B. Priestley's christian names,John boynton
Science & Nature,"The hippopotamus gives birth __________ and nurses its young in the river as well, although the young hippos must come up periodically for air.",Underwater
General,Which orchestral instrument can play the highest note,The Violin
General,Which kellogg's cereal was advertised by tusk tusk the elephant,Coco
General,In 'Dirty Dancing' what was Baby's real name?,Frances
General,What is the alternative name for the Galaxy,Milky way
General,Type of frothy milky coffee,Cappuccino
Music,"""Get Off My Cloud"" Was A Hit For Which Group In 1965",The Rolling Stones
Entertainment,In what city does Fat Albert live,Philadelphia
Music,"Who Were ""Big In Japan""",Alphaville
